FACID	JURISID	JURISSIZE	WEIGHT	NAME	YEAR	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEK_FLAG	WEEKN	WEEKN_FLAG	NONCITZ	NONCITZ_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	CONV	CONV_FLAG	CONVUNSENT	CONVUNSENT_FLAG	CONVSENT	CONVSENT_FLAG	UNCONV	UNCONV_FLAG	UNCONVTRIAL	UNCONVTRIAL_FLAG	UNCONVHOLD	UNCONVHOLD_FLAG	UNCONVOTHER	UNCONVOTHER_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	S3Q10A5SPEC	S3Q10A5	S3Q10A5_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	S3Q10E	S3Q10E_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPMALE	ADPMALE_FLAG	ADPFEMALE	ADPFEMALE_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISMALE	ADMISMALE_FLAG	ADMISFEMALE	ADMISFEMALE_FLAG	ADMIS	ADMIS_FLAG	RELEASEMALE	RELEASEMALE_FLAG	RELEASEFEMALE	RELEASEFEMALE_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	COST	COST_FLAG	CORRSTAFF	CORRSTAFF_FLAG	CORRSTAFFMALE	CORRSTAFFMALE_FLAG	CORRSTAFFFEMALE	CORRSTAFFFEMALE_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	OTHERSTAFFMALE	OTHERSTAFFMALE_FLAG	OTHERSTAFFFEMALE	OTHERSTAFFFEMALE_FLAG	TOTALSTAFF	TOTALSTAFF_FLAG	CORRWHITE	CORRWHITE_FLAG	CORRBLACK	CORRBLACK_FLAG	CORRHISP	CORRHISP_FLAG	CORRAIAN	CORRAIAN_FLAG	CORRASIAN	CORRASIAN_FLAG	CORRNHOPI	CORRNHOPI_FLAG	CORRTWORACE	CORRTWORACE_FLAG	CORROTHERRACESPEC	CORROTHERRACE	CORROTHERRACE_FLAG	CORRRACEDK	CORRRACEDK_FLAG	CORRRACETOTAL	CORRRACETOTAL_FLAG
231082082060000009600	231082082	6	1.1816735088	Andrew C. Baird Detention Facility	2013	850	1	0	1	850	1	0	0	-1	1	11	1	772	1	69	1	6	1	3	1	850	1	13	1	47	3	-1	-1	-1	-1	803	3	-1	-1	-1	-1	-1	-1	850	1	-1	-1	-1	-1	 	-1	-1	-1	-1	224.3	3	624.6	3	0	3	.4	3	.4	3	0	3	0	3	 	.4	3	0	3	850	1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2075	3	183	3	2258	3	2239	3	25498	3	8593	3	34091	3	-1	-1	-1	-1	34225	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1	313	-1	269	3	44	3	40	3	34	3	6	3	353	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1
441020020063000000000	441020020	5	1.0327425388	Brazoria Co. Detention Ctr.	2013	656	0	0	0	656	0	0	0	-1	1	20	1	579	0	77	0	0	0	0	0	656	0	0	0	55	3	-1	-1	-1	-1	601	3	-1	-1	-1	-1	-1	-1	656	0	-1	-1	-1	-1	 	-1	-1	656	0	141.1	3	395.6	3	119.3	3	0	3	0	3	0	3	0	3	 	0	3	0	3	656	0	0	1	0	1	0	1	0	1	 	0	1	25	1	0	1	0	1	5	1	0	1	30	1	20	718	0	617	0	127	0	744	0	1151	0	7357	0	2592	0	9949	0	7387	0	2611	0	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	15000000	1	128	1	105	1	23	1	9	1	0	1	9	1	137	1	78	1	25	1	25	1	0	1	0	1	0	1	0	1	 	0	1	0	1	128	1
391011011060100000000	391011011	4	1.1037050271	Cambria Co. Prison	2013	497	0	0	0	497	0	1	0	0	0	0	0	413	0	82	0	2	0	0	0	497	0	2	0	231	1	0	1	231	1	266	1	266	1	0	1	0	1	497	0	386	1	111	1	 	0	0	497	0	315.4	3	171.1	3	9.3	3	0	3	1.2	3	0	3	0	3	 	0	3	0	3	497	0	15	1	0	0	0	0	0	0	 	0	0	55	1	0	0	0	0	0	0	0	0	70	1	7	517	0	415	0	72	0	487	0	493	0	2528	0	629	0	3157	0	2561	1	525	1	3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	9600000	0	108	0	85	0	23	0	16	0	9	0	7	0	124	0	106	0	2	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	108	0
231017017061000000000	231017017	3	1.1816735088	Chippewa Co. Jail	2013	118	0	13	0	131	0	0	0	-1	1	12	1	92	0	26	0	0	1	0	0	118	0	0	0	46	0	0	0	46	0	72	0	60	1	12	1	0	1	118	0	-1	-1	-1	-1	 	-1	-1	118	0	118	3	0	3	0	3	0	3	0	3	0	3	0	3	 	0	3	0	3	118	0	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	137	0	94	3	32	3	126	0	175	0	1239	0	468	0	1707	0	1228	0	457	0	1685	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	13	0	2364177	0	25	0	20	0	5	0	12	0	4	0	8	0	37	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	25	0
141016016060100000000	141016016	6	1.0037784781	Cook County Jail	2013	9799	0	2417	0	12216	0	0	0	-1	1	0	0	8374	3	1425	3	0	3	0	3	9799	0	0	1	4557	3	-1	-1	-1	-1	5242	3	-1	-1	-1	-1	-1	-1	9799	0	-1	-1	-1	-1	 	-1	-1	9799	0	976.3	3	7229.9	3	1504.4	3	10.3	3	48.9	3	0	3	29.1	3	 	0	3	0	3	9799	0	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	10352	0	9315	3	1250	3	10565	0	11295	1	63655	3	18842	3	82497	0	-1	-1	-1	-1	82080	0	1569	0	0	0	0	0	249	0	0	0	230	0	0	0	SFFPMOMS	369	0	2417	0	266528455	1	3729	0	2960	3	769	3	880	3	335	3	545	3	4609	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	3729	0
191016016061000000000	191016016	3	1.1804623753	De Soto Parish Detention Center	2013	118	0	0	1	118	1	1	0	0	0	118	0	107	0	11	0	0	0	0	0	118	0	0	0	32	0	0	0	32	0	86	0	86	0	0	0	0	0	118	0	32	1	86	1	 	0	0	118	0	34	3	82.8	3	1.1	3	0	3	0	3	0	3	0	3	 	0	3	0	3	118	0	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	118	1	107	1	11	1	118	1	116	0	1130	1	318	1	1448	1	975	1	350	1	1325	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1	21	1	16	1	5	1	2	1	2	1	0	0	23	1	10	1	11	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	21	1
101027027061000000000	101027027	5	1.0460018682	Hernando County Detention Center	2013	496	0	0	0	496	0	1	0	6	0	0	0	386	0	110	0	0	0	0	0	496	0	0	0	179	0	3	0	176	0	317	0	310	0	4	0	3	0	496	0	430	0	62	0	otherjurisdictions	4	0	496	0	418.8	3	68.1	3	8.1	3	0	3	1	3	0	3	0	3	 	0	3	0	3	496	0	0	0	0	0	0	0	0	0	 	0	0	19	0	0	0	0	0	3	0	0	0	25	0	1	519	0	402	0	120	0	522	0	776	0	4641	1	1387	1	6028	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	10500000	0	98	0	74	0	24	0	42	0	9	0	33	0	140	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	98	0
101035035061000000000	101035035	5	1.0460018682	Lake County Jail	2013	661	0	0	0	661	0	1	0	27	0	0	1	533	0	125	0	3	0	0	0	661	0	3	0	256	0	0	0	256	0	405	0	405	0	0	0	0	0	661	0	653	0	8	0	 	0	0	661	0	290.9	3	273.2	3	95.9	3	0	3	1	3	0	3	0	3	 	0	3	0	3	661	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	666	0	144	0	810	0	910	0	7376	0	2755	0	10131	0	-1	-1	-1	-1	9580	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1	250	3	204	3	46	3	51	3	27	3	24	3	301	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1
482031009061000000000	482031009	2	1.1286219098	Marysville City Jail	2013	69	0	0	0	69	0	0	0	-1	1	0	0	53	0	16	0	0	0	0	0	69	0	0	0	69	0	41	0	28	0	0	0	0	0	0	0	0	0	69	0	3	0	66	0	 	0	0	69	0	48.6	3	0	3	0	3	17.9	3	2.6	3	0	3	0	3	 	0	3	0	3	69	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	81	0	65	1	18	1	83	0	57	1	720	1	200	1	920	1	620	1	150	1	770	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	13	0	10	0	3	0	0	0	0	1	0	1	13	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	13	0
191045043061000000000	191045043	4	1.1804623753	Nelson Coleman Correctional Center	2013	480	0	0	0	480	0	1	0	2	0	0	0	449	0	31	0	0	0	0	0	480	0	0	0	337	1	0	0	337	0	143	1	36	0	107	0	0	0	480	1	-1	-1	-1	-1	 	-1	-1	-1	-1	160	3	320	3	0	3	0	3	0	3	0	3	0	3	 	0	3	0	3	480	1	107	0	0	0	0	0	0	0	 	0	0	201	0	0	0	0	0	36	0	0	0	143	0	16	487	0	442	0	30	0	472	1	628	0	3824	3	1143	3	4967	3	-1	-1	-1	-1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	11451000	0	98	0	68	0	30	0	39	0	16	0	23	0	137	0	87	0	48	0	0	0	0	0	0	0	2	0	0	0	 	0	0	0	0	137	0
